Filename,URN,Title,Author,Editor,Publisher,Publication Year,Language,Size,Location,Source
tlg0527.tlg036.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg036.1st1K-grc1,Ὡσηέ,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,79816,data/tlg0527/tlg036,data
tlg0527.tlg036.perseus-eng2.xml,,Hosea,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,55782,data/tlg0527/tlg036,data
tlg0527.tlg031.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg031.1st1K-grc1,Ἆσμα,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1896,Greek,50823,data/tlg0527/tlg031,data
tlg0527.tlg031.perseus-eng2.xml,,Canticle,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,32125,data/tlg0527/tlg031,data
tlg0527.tlg038.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg038.1st1K-grc1,Μιχαίας,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,49444,data/tlg0527/tlg038,data
tlg0527.tlg038.perseus-eng2.xml,,Micah,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,33969,data/tlg0527/tlg038,data
tlg0527.tlg052.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg052.1st1K-grc1,Ἐπιστολὴ Ἰερεμίου,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,32142,data/tlg0527/tlg052,data
tlg0527.tlg055.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg055.1st1K-grc1,Σουζάννα (Theodotionis versio),Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,27643,data/tlg0527/tlg055,data
tlg0527.tlg001.perseus-eng2.xml,,Genesis,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,434453,data/tlg0527/tlg001,data
tlg0527.tlg001.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg001.1st1K-grc1,Γένεσις,Septuaginta,Henry Barclay Swete,University Press,1901,Greek,603029,data/tlg0527/tlg001,data
tlg0527.tlg039.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg039.1st1K-grc1,Ἰωήλ,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,36471,data/tlg0527/tlg039,data
tlg0527.tlg039.perseus-eng2.xml,,Joel,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,23237,data/tlg0527/tlg039,data
tlg0527.tlg006.perseus-eng2.xml,,Joshua,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,182720,data/tlg0527/tlg006,data
tlg0527.tlg006.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg006.1st1K-grc1,Josue (Cod. Vaticanus + Cod. Alexandrinus),Septuaginta,Henry Barclay Swete,University Press,1901,Greek,314707,data/tlg0527/tlg006,data
tlg0527.tlg030.perseus-eng2.xml,,Ecclesiastes,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,59751,data/tlg0527/tlg030,data
tlg0527.tlg008.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg008.1st1K-grc1,Κριταί (Cod. Alexandrinus),Septuaginta,Henry Barclay Swete,University Press,1901,Greek,386821,data/tlg0527/tlg008,data
tlg0527.tlg008.perseus-eng2.xml,,Judges,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,175305,data/tlg0527/tlg008,data
